sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
-0.8976739057014633,1.0156016521021254,-1.3357517138082824,-1.3110521154380599,0.0
-1.139200284697427,-0.1315391207778659,-1.3357517138082824,-1.3110521154380599,0.0
-1.3807272395377006,0.3273172977739998,-1.3923993788658393,-1.3110521154380599,0.0
-1.5014904290356825,0.09788881499839387,-1.2791040487507255,-1.3110521154380599,0.0
-1.018437095199445,1.245029587878385,-1.3357517138082824,-1.3110521154380599,0.0
-0.5353837613632078,1.9333144892058567,-1.1658087186356119,-1.0486667580006797,0.0
-1.5014904290356825,0.7861737163258655,-1.3357517138082824,-1.1798594269447538,0.0
-1.018437095199445,0.7861737163258655,-1.2791040487507255,-1.3110521154380599,0.0
-1.7430168080316462,-0.36096705655412564,-1.3357517138082824,-1.3110521154380599,0.0
-1.139200284697427,0.09788881499839387,-1.2791040487507255,-1.4422447941567502,0.0
-0.5353837613632078,1.4744580706539911,-1.2791040487507255,-1.3110521154380599,0.0
-1.2599634741954087,0.7861737163258655,-1.2224563836931686,-1.3110521154380599,0.0
-1.2599634741954087,-0.1315391207778659,-1.3357517138082824,-1.4422447941567502,0.0
-1.8637799975296279,-0.1315391207778659,-1.50569464145169,-1.4422447941567502,0.0
-0.05233042752697039,2.1627424249821163,-1.4490469763941332,-1.3110521154380599,0.0
-0.17309419286926234,3.080455262085848,-1.2791040487507255,-1.0486667580006797,0.0
-0.5353837613632078,1.9333144892058567,-1.3923993788658393,-1.0486667580006797,0.0
-0.8976739057014633,1.0156016521021254,-1.3357517138082824,-1.1798594269447538,0.0
-0.17309419286926234,1.7038860064302508,-1.1658087186356119,-1.1798594269447538,0.0
-0.8976739057014633,1.7038860064302508,-1.2791040487507255,-1.1798594269447538,0.0
-0.5353837613632078,0.7861737163258655,-1.1658087186356119,-1.3110521154380599,0.0
-0.8976739057014633,1.4744580706539911,-1.2791040487507255,-1.0486667580006797,0.0
-1.5014904290356825,1.245029587878385,-1.562342306509247,-1.3110521154380599,0.0
-0.8976739057014633,0.5567452335502596,-1.1658087186356119,-0.9174740890566057,0.0
-1.2599634741954087,0.7861737163258655,-1.0525134560497609,-1.3110521154380599,0.0
-1.018437095199445,-0.1315391207778659,-1.2224563836931686,-1.3110521154380599,0.0
-1.018437095199445,0.7861737163258655,-1.2224563836931686,-1.0486667580006797,0.0
-0.7769107162034815,1.0156016521021254,-1.2791040487507255,-1.3110521154380599,0.0
