CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,target
-0.4193669371634571,0.28454828969219187,-1.286636394857291,-0.2723290626621419,-0.14407505562650366,0.41326302430615647,-0.11989475617135256,0.14007501594487945,-0.9818711985457529,-0.6659491937166101,-1.4575578432809595,0.44061573431832995,-1.074499073210402,24.0
-0.41692667791266613,-0.48724018174499467,-0.5927945132907348,-0.2723290626621419,-0.7395303673837533,0.19408277598498808,0.3668036083211197,0.556609049218698,-0.8670244965539177,-0.9863534073657739,-0.30279498539773564,0.44061573431832995,-0.49195256562698003,21.6
-0.41692900320223164,-0.48724018174499467,-0.5927945132907348,-0.2723290626621419,-0.7395303673837533,1.2814458142036451,-0.2655489083629272,0.556609049218698,-0.8670244965539177,-0.9863534073657739,-0.30279498539773564,0.39603483144189466,-1.207532493392213,34.7
-0.41633841148509865,-0.48724018174499467,-1.3055858390265294,-0.2723290626621419,-0.834458122691177,1.0152983213380433,-0.8090877490410358,1.0766710646944873,-0.7521777945620824,-1.105021634643242,0.11292050683441476,0.4157513663485484,-1.3601708906668726,33.4
-0.4120740616948582,-0.48724018174499467,-1.3055858390265294,-0.2723290626621419,-0.834458122691177,1.2273621559625245,-0.5106741987964584,1.0766710646944873,-0.7521777945620824,-1.105021634643242,0.11292050683441476,0.44061573431832995,-1.0254867640262606,36.2
-0.41663138216237344,-0.48724018174499467,-1.3055858390265294,-0.2723290626621419,-0.834458122691177,0.20689177771217412,-0.3508098259194436,1.0766710646944873,-0.7521777945620824,-1.105021634643242,0.11292050683441476,0.41016496465043206,-1.0422909728709964,28.7
-0.4098372543995293,0.04872403453082931,-0.4761824796661311,-0.2723290626621419,-0.2648921052222109,-0.38802642696446205,-0.07015911929102032,0.838414200923484,-0.5224843905784119,-0.576948023258509,-1.503748551419474,0.4263762932259197,-0.031236739102868737,22.9
-0.4032965695568229,0.04872403453082931,-0.4761824796661311,-0.2723290626621419,-0.2648921052222109,-0.16030661793898182,0.9778406584582985,1.023624802974732,-0.5224843905784119,-0.576948023258509,-1.503748551419474,0.44061573431832995,0.9097997574902221,27.1
-0.39554331181964514,0.04872403453082931,-0.4761824796661311,-0.2723290626621419,-0.2648921052222109,-0.9302847990661658,1.1163898358258613,1.0861214840734064,-0.5224843905784119,-0.576948023258509,-1.503748551419474,0.32812321371864084,2.4193793878441023,16.5
-0.4003331484673992,0.04872403453082931,-0.4761824796661311,-0.2723290626621419,-0.2648921052222109,-0.3994122816840234,0.6154815216853649,1.3283201552900485,-0.5224843905784119,-0.576948023258509,-1.503748551419474,0.32899934816399523,0.6227276894576756,18.9
-0.39395638766060703,0.04872403453082931,-0.4761824796661311,-0.2723290626621419,-0.2648921052222109,0.1314595570395556,0.9138950719299422,1.211779928620835,-0.5224843905784119,-0.576948023258509,-1.503748551419474,0.3926392672694757,1.0918456871781452,15.0
-0.4064448401227735,0.04872403453082931,-0.4761824796661311,-0.2723290626621419,-0.2648921052222109,-0.3922965466458997,0.5089052731006883,1.154791859455441,-0.5224843905784119,-0.576948023258509,-1.503748551419474,0.44061573431832995,0.08639285635826276,18.9
-0.4091989964117798,0.04872403453082931,-0.4761824796661311,-0.2723290626621419,-0.2648921052222109,-0.5630864034150099,-1.050660552062561,0.7863652230545124,-0.5224843905784119,-0.576948023258509,-1.503748551419474,0.37051327906937875,0.4280787032971861,21.7
-0.3468869347251816,-0.48724018174499467,-0.4368258375168544,-0.2723290626621419,-0.14407505562650366,-0.4776914750304548,-0.2406810899227611,0.43332515473015193,-0.6373310925702472,-0.6006816687140026,1.1753023889478496,0.44061573431832995,-0.6151835640363569,20.4
-0.3459336188409528,-0.48724018174499467,-0.4368258375168544,-0.2723290626621419,-0.14407505562650366,-0.2684732557626595,0.5657458848050326,0.3166900456963884,-0.6373310925702472,-0.6006816687140026,1.1753023889478496,0.2557202787852451,-0.3351131495281316,18.2
-0.34716246659690575,-0.48724018174499467,-0.4368258375168544,-0.2723290626621419,-0.14407505562650366,-0.6413649181028779,-0.42896576865194797,0.33411873588157776,-0.6373310925702472,-0.6006816687140026,1.1753023889478496,0.4265952432685397,-0.585776165171074,19.9
-0.29757370079120793,-0.48724018174499467,-0.4368258375168544,-0.2723290626621419,-0.14407505562650366,-0.497616890454328,-1.3952571162567564,0.33411873588157776,-0.6373310925702472,-0.6006816687140026,1.1753023889478496,0.3305330012869583,-0.8504427549586199,23.1
-0.3289320231648006,-0.48724018174499467,-0.4368258375168544,-0.2723290626621419,-0.14407505562650366,-0.41933837576646,0.4662746110443681,0.21981062249964306,-0.6373310925702472,-0.6006816687140026,1.1753023889478496,0.3294375825241096,0.2824420930948282,17.5
